state,Regular,Mid-Grade,Premium,Diesel
Wyoming,3.435,3.676,3.959,4.623
Wisconsin,3.208,3.615,4.061,4.153
West Virginia,3.388,3.696,4.021,4.662
Washington,4.127,4.337,4.544,5.047
Virginia,3.332,3.734,4.072,4.549
Vermont,3.519,4.015,4.424,5.011
Utah,3.699,3.903,4.091,4.669
Texas,3.066,3.449,3.783,4.136
Tennessee,3.177,3.558,3.92,4.376
South Dakota,3.389,3.554,4.008,4.383
South Carolina,3.16,3.533,3.883,4.404
Rhode Island,3.398,3.979,4.346,5.072
Pennsylvania,3.756,4.143,4.45,5.063
Oregon,3.775,3.979,4.184,4.781
Oklahoma,3.136,3.452,3.702,3.973
Ohio,3.329,3.763,4.176,4.598
North Dakota,3.357,3.618,3.943,4.476
North Carolina,3.275,3.655,4.016,4.441
New York,3.553,4.01,4.373,5.252
New Mexico,3.298,3.624,3.913,4.37
New Jersey,3.389,3.943,4.227,4.709
New Hampshire,3.368,3.835,4.231,5.082
Nevada,4.048,4.279,4.504,4.775
Nebraska,3.344,3.523,3.994,4.21
Montana,3.248,3.525,3.811,4.386
Missouri,3.125,3.41,3.731,4.107
Mississippi,3.111,3.487,3.83,4.301
Minnesota,3.361,3.659,4.055,4.341
Michigan,3.362,3.832,4.29,4.627
Massachusetts,3.418,3.974,4.321,5.06
Maryland,3.431,3.946,4.207,4.53
Maine,3.495,3.9,4.265,5.594
Louisiana,3.18,3.558,3.906,4.32
Kentucky,3.131,3.573,3.944,4.39
Kansas,3.179,3.462,3.765,4.122
Iowa,3.303,3.56,4.029,4.221
Indiana,3.24,3.692,4.121,4.69
Illinois,3.606,4.054,4.492,4.524
Idaho,3.615,3.839,4.06,4.673
Hawaii,4.915,5.149,5.383,6.013
Georgia,3.318,3.701,4.071,4.617
Florida,3.47,3.86,4.177,4.847
District of Columbia,3.602,4.169,4.556,4.987
Delaware,3.33,3.787,4.075,4.329
Connecticut,3.337,3.879,4.321,4.974
Colorado,3.931,4.277,4.585,4.796
California,4.617,4.813,4.961,5.703
Arkansas,3.132,3.471,3.818,4.186
Arizona,3.493,3.776,4.058,4.607
Alaska,3.78,3.933,4.141,4.572
Alabama,3.203,3.591,3.954,4.448
